chemistry,n_test,router_grade_acc,global_grade_acc,delta_pp,dispatch
LCO,6896,0.8564385150812065,0.8687645011600929,-1.2325986078886353,router
LFP,54924,0.9816473672711383,0.9786068021265749,0.3040565144563412,router
NCA,8815,0.9799205899035734,0.9647192285876347,1.5201361315938744,router
NMC,209743,0.9743686320878409,0.9767811083087398,-0.2412476220898907,router
Na-ion,2009,0.9955201592832255,0.9795918367346939,1.5928322548531604,router
Zn-ion,14161,0.9234517336346303,0.89817103311913,2.5280700515500243,router
other,4321,0.9986114325387642,0.9719972228650775,2.661420967368666,router
