held_out_source,n_train,n_test,dominant_chemistry,dominant_chem_pct,r2,rmse,mae,mape,fit_time_s
BL_ZN-coin,2116996,80052,Zn-ion,100.0,-18.03664779663086,91.30212017493076,88.8856201171875,106.62405,6.8
BL_RWTH,2091651,105397,NMC,100.0,-2.857947587966919,27.844182928382345,26.883190155029297,102.96345,6.4
BL_HUST,2050928,146120,LFP,100.0,-1.3776814937591553,12.205715554095958,11.081086158752441,10.757928,6.4
BL_SDU,2147902,49146,NMC,100.0,-0.007040262222290039,8.937890957904479,7.576348304748535,8.621289,6.7
BL_Tongji,2138010,59038,NCA,53.0,0.36362284421920776,5.1545690397426664,4.530209541320801,5.714748,6.7
BL_SNL,2100556,96492,LFP,67.4,0.3695347309112549,9.072928906391237,6.007843971252441,32230890.0,6.6
BL_ISU_ILCC,1002202,1194846,NMC,100.0,0.5019993185997009,15.786938176612573,12.370792388916016,6059323.0,4.0
BL_MATR,2057051,139997,LFP,100.0,0.7185789346694946,3.750003306069506,2.5980350971221924,3.1139033,6.3
BL_Stanford_2,2008427,188621,NMC,100.0,0.9950878620147705,1.7137185404510333,1.0508850812911987,12359755.0,6.1
BL_Stanford,2157719,39329,NMC,100.0,0.998755156993866,0.7954888723447503,0.5008001923561096,9078782.0,6.9
