held_out_source,n_train,n_test,dominant_chemistry,dominant_chem_pct,r2,rmse,mae,mape,fit_time_s
BL_ZN-coin,2123996,80052,Zn-ion,100.0,-18.586082458496094,92.61032799619328,90.22064208984375,110.988464,6.5
BL_RWTH,2098651,105397,NMC,100.0,-4.4609456062316895,33.12762187442207,32.21488952636719,121.847534,6.1
BL_HUST,2057928,146120,LFP,100.0,-1.0695679187774658,11.387444364744718,10.13054084777832,9.78234,6.0
BL_SDU,2154902,49146,NMC,100.0,-0.21527814865112305,9.818597344875732,8.175247192382812,9.290679,6.5
BL_SNL,2107556,96492,LFP,67.4,0.3639974594116211,9.112684744596102,5.796636581420898,31373922.0,6.2
BL_ISU_ILCC,1009202,1194846,NMC,100.0,0.44427764415740967,16.67676716238136,13.524213790893555,13707006.0,4.0
BL_Tongji,2145010,59038,NCA,53.0,0.6001430749893188,4.085896887495344,3.434213399887085,4.3314133,6.4
BL_MATR,2064051,139997,LFP,100.0,0.7007812261581421,3.8667647930278366,2.6312129497528076,3.1717691,6.0
BL_Stanford_2,2015427,188621,NMC,100.0,0.9950346350669861,1.7229791109453854,1.0590325593948364,10510811.0,5.9
BL_Stanford,2164719,39329,NMC,100.0,0.9986961483955383,0.8141141776231395,0.5023677945137024,6011459.5,6.6
