epoch,train_rmse,val_rmse
1,33.71251854875747,38.17940473407301
2,32.37861422193651,36.561211071171854
3,31.04104589943555,34.99709998240044
4,29.726877832388173,33.516075751770806
5,28.532386580181544,32.08363324281298
6,27.340188653146154,30.71636150851504
7,26.21574105678194,29.40286407056021
8,25.164382110167754,28.151757720424452
9,24.10825326712721,26.950882761722987
10,23.085064639323043,25.806036776299397
11,22.142890999609925,24.70548237567771
12,21.24470404525627,23.657522559851632
13,20.393251358339743,22.65437217220346
14,19.571906689213357,21.693950634124874
15,18.76444864600558,20.777957996236303
16,17.99898026635187,19.89662546253524
17,17.291741171583336,19.058486201102323
18,16.620217125981018,18.258496075470653
19,15.941097439746445,17.49430651161477
20,15.323960293085094,16.759936751311127
21,14.744948683808508,16.06311254856826
22,14.14019956770212,15.402223750916606
23,13.553899085693482,14.765367215954074
24,12.991234328231194,14.14812852183094
25,12.458935423803501,13.568225982583142
26,11.965776671672788,13.010721257736138
27,11.520875793752648,12.475878723484707
28,11.085612231464495,11.957816223270074
29,10.642196822579683,11.474055358135569
30,10.258512270175673,11.008676797049137
31,9.88478255927006,10.562128444204046
32,9.499125082173217,10.13002416124939
33,9.11838899239594,9.724364087701902
34,8.773860610729042,9.336293332476298
35,8.445404065829585,8.967969672147744
36,8.149472242875987,8.611499285859828
37,7.846964982159877,8.27590750119331
38,7.582314564756286,7.9526991648640974
39,7.284898250466967,7.649604059024337
40,7.050156554091358,7.360633504470108
41,6.775129207541837,7.082878674434753
42,6.519708564066155,6.8181479305078545
43,6.313995563183385,6.5609829518408915
44,6.117500609361392,6.317885747461055
45,5.8900246969236365,6.083481483434985
46,5.699112460652355,5.85883763509574
47,5.487800289471711,5.650405578991313
48,5.345335676444958,5.454878257686164
49,5.1944615412265716,5.265211470661794
50,5.003306369827273,5.0873208211385945
51,4.859922282754686,4.914407009861593
52,4.726102158511913,4.753216976057599
53,4.613337021557978,4.597110796060254
54,4.495441312713264,4.451661832496403
55,4.367517062162132,4.311237485120575
56,4.242892774314777,4.176378140024738
57,4.101557827525448,4.055370212629989
58,4.004633443962141,3.932485680267812
59,3.9191264074083962,3.8208321100258003
60,3.8334119630619425,3.7141095371209523
61,3.720885774703119,3.617706867619607
62,3.599735010667075,3.5228746456516222
63,3.5185435894437886,3.4318486129416823
64,3.4436010059217748,3.348475570877545
65,3.3621030081102767,3.267459468853458
66,3.2610206744030115,3.194012558055688
67,3.2117897138689475,3.1235623361520055
68,3.1227391086727847,3.0590726666959127
69,3.0335163508736986,3.0019882466495837
70,2.956477932211555,2.943029580235192
71,2.909810488587606,2.8860221403976976
72,2.868303390270093,2.834917649230715
73,2.8309875623107215,2.787842682362525
74,2.754877362936394,2.742762919679584
75,2.695387397898733,2.6994096863259442
76,2.649232191315182,2.660177114865713
77,2.584087350701422,2.6222364521263186
78,2.55399807494784,2.586792139488972
79,2.5156809700000062,2.555328924897139
80,2.4884822554927957,2.525084769901598
81,2.463189204588444,2.496277691459232
82,2.408186256872778,2.469813215940722
83,2.3714017372026674,2.444413673855785
84,2.3491358987843682,2.421279880428249
85,2.3003060282746572,2.3949237452772945
86,2.2595104097883376,2.3720857455010305
87,2.216100719034288,2.3546566574445396
88,2.176249114267552,2.333950223959161
89,2.149077694008958,2.3147418898412826
90,2.1175779959852803,2.296843699746827
91,2.081186658046276,2.281076141944803
92,2.058693673331761,2.2653174869851536
93,2.047901579953493,2.252764843180167
94,2.0361401701522044,2.2387263422394024
95,2.0191512932036693,2.227208640177205
96,1.9903595533836724,2.2152829703656813
97,1.9551237340324246,2.2056005817447883
98,1.9442208324540207,2.1965182609842624
99,1.9202581013796989,2.1871821133858522
100,1.8936245006783825,2.178433466671584
101,1.883454875416186,2.1692699404752127
102,1.8588448105031294,2.1624092872356355
103,1.8369065321240547,2.152941294169361
104,1.8213737811652102,2.1462479997913397
105,1.8021851396168636,2.1399005201476715
106,1.7797285260448379,2.1333445934183906
107,1.7652766860910192,2.1276890137361057
108,1.7464199015376405,2.123800374457994
109,1.7349325768048243,2.1178200038476986
110,1.7193740281987353,2.1128218140235555
111,1.7047973726054881,2.106715825027845
112,1.7007841726223576,2.102376466803712
113,1.687499042843946,2.0958786320473655
114,1.6772900579928736,2.0914158186915834
115,1.6643736641096134,2.0872360042749336
116,1.6489073098097988,2.082706235530504
117,1.63594352080497,2.079128008090869
118,1.6249251355616259,2.0756521414151576
119,1.6155136493823588,2.073452520459628
120,1.6072505635399144,2.070239524472957
121,1.602466162172866,2.0666163077888413
122,1.5985517034965078,2.06421768883207
123,1.5954043835939447,2.061337550617465
124,1.583039440416057,2.0580613231658673
125,1.5722957813005323,2.0544333397353904
126,1.5634855654160753,2.052033469923194
127,1.5569881202969718,2.049566278233799
128,1.5480902498956852,2.045911707214344
129,1.5382490740089019,2.0443304499915445
130,1.5311277647614985,2.041331074117427
131,1.5263036605831573,2.037890256135548
132,1.5222892071328646,2.0347735589858074
133,1.5145621158116422,2.0339535400196977
134,1.5066098374309544,2.0306828933909378
135,1.4965225413523624,2.0296714426061317
136,1.4942667196550332,2.0278082028299833
137,1.48763155011646,2.025615958713011
138,1.4798376975316925,2.0241999301140456
139,1.4770851088172936,2.022100634597661
140,1.4699255895676586,2.021154149978698
141,1.4605558821339242,2.0198118915576124
142,1.4545608563255674,2.0179956269717327
143,1.443747972991443,2.0167635185692867
144,1.4353193236041972,2.015906092606075
145,1.4289066480305066,2.0134024461625324
146,1.4233999869243823,2.0118649230008274
147,1.4174539832518798,2.0113536273590022
148,1.4136137932158632,2.008560355270748
149,1.4072940166568952,2.0062804661929396
150,1.4019480063315868,2.005048576699693
151,1.3969857057767696,2.003802974580503
152,1.390933927586354,2.004025995106863
153,1.3866109867345,2.0028498963803125
154,1.383113569332824,2.0023628585567415
155,1.381535748221278,2.001648598097499
156,1.3798438089791973,2.0004577824952445
157,1.3783044604069692,1.99947478790324
158,1.3732943447169008,1.9991994128868098
159,1.3718372664520786,1.9983714086960334
160,1.3645770902477035,1.9973876651495504
161,1.3636769030217863,1.9961546209650578
162,1.3608371644650572,1.9944135912850531
163,1.3562301203083131,1.9930563050573837
164,1.349214581478618,1.992218240407144
165,1.3411789548588202,1.992005147776361
166,1.335374837672503,1.9919328053782057
167,1.3328078342303542,1.9909662262642158
168,1.3267374892879416,1.9896407187459175
169,1.3213527595891519,1.9893176397385006
170,1.3184294481609633,1.9889063483970921
171,1.311421022503096,1.9887446238684172
172,1.3076323739815294,1.9880890298960778
173,1.3044026796899857,1.9875979818065508
174,1.3004458180582734,1.9873836289579645
175,1.2971716857532478,1.9870235124688453
176,1.2919749453401008,1.9866480521722336
177,1.2907830367856252,1.9862721144759161
178,1.2885694177263327,1.9857181617950064
179,1.2845028808785741,1.9848904126745857
180,1.2836072050787533,1.9842543890069093
181,1.2779324296974894,1.9833628087085025
182,1.275099984962146,1.9820998827613394
183,1.272294737394596,1.9805124747231424
184,1.271196529318669,1.9794297072422555
185,1.2700455851320689,1.978392779402987
186,1.2679462019566232,1.9777845523045365
187,1.2666686160920266,1.9774358010247028
188,1.2658360255714978,1.976106392849114
189,1.2607700179532049,1.9757610965516363
190,1.2588179289922092,1.9754295232469612
191,1.255477050458556,1.9749926278130956
192,1.253882239608124,1.9733451809111215
193,1.2529986047380954,1.9725931531423848
194,1.252190410948982,1.9722728091807071
195,1.2476065985841984,1.972363047937617
196,1.2469919927107656,1.9726260466242154
197,1.244594420459806,1.9723729489987665
198,1.242383298761045,1.9706694202730755
199,1.2407947766866139,1.9699579733865165
200,1.2396781698332817,1.9692382505014379
201,1.2388720839375134,1.968619981076007
202,1.2380834298353678,1.9684473820367225
203,1.237034563726832,1.9679374755595513
204,1.2355684747606865,1.9673780610393188
205,1.2313428813312564,1.9669823272351492
206,1.2309553259906227,1.9667703807628507
207,1.2278356153410972,1.9658456252542722
208,1.226249800707031,1.9649849324231057
209,1.223825403365369,1.9638073462825278
210,1.2214199742951668,1.963436670433511
211,1.2171593799173157,1.9622642242790385
212,1.2150783992616707,1.9619524542528124
213,1.2121181335846483,1.9612493999022595
214,1.2090151171990642,1.9608533147109541
215,1.2078701165085042,1.960251911125903
216,1.2063414862661097,1.9596668654805351
217,1.2057485427074868,1.9597158896567868
218,1.2014186845068728,1.9591148462810957
219,1.2002323853393744,1.95835206934357
220,1.1996476926620443,1.9578596243642337
221,1.1967530523291265,1.9574959017687146
222,1.1940416928870354,1.9569092421225696
223,1.190398600956418,1.9563795233607504
224,1.188950796399505,1.9561080731887437
225,1.1852220033165652,1.9556922170546684
226,1.1828349834693734,1.9558058226814028
227,1.1773888628296694,1.9557203982600955
228,1.1727275278386313,1.9552384965946872
229,1.1718082233043186,1.954954836478573
230,1.170026053389236,1.9545555178823346
231,1.169565524283812,1.9543909308828682
232,1.1684640914751543,1.9543659067149886
233,1.1654619255228107,1.9535464347664733
234,1.1622251415566351,1.9534047228113187
235,1.1585120502692485,1.9533757866223769
236,1.157561474588241,1.9532262414208925
237,1.1566807087192703,1.9523277449216254
238,1.1557730340280508,1.9519438947853847
239,1.1551606938467185,1.9518507591956153
240,1.1542154111238732,1.951329264640358
241,1.152123996236637,1.9511644709845204
242,1.1497052595541297,1.9506372155257818
243,1.1474134245742438,1.9503130093751244
244,1.1461849866190796,1.9493242094380931
245,1.1441119359409546,1.949446756489476
246,1.1433471951045922,1.9491882476255413
247,1.1398400824704638,1.9491097150830057
248,1.1379819194905425,1.9485119541617208
249,1.1354095039309364,1.948375126964846
250,1.1332050751085885,1.9478926609658203
251,1.1323166406051128,1.947547782581475
252,1.1297254595538544,1.9466887845345373
253,1.1291892002801536,1.9465403040793157
254,1.1265696707319586,1.9463888995395793
255,1.124909543435861,1.9460771972192021
256,1.1245469989060515,1.945418264790936
257,1.1230774724726538,1.945170794183382
258,1.1196493558130352,1.945182115647003
259,1.1188199913216648,1.944215031009942
260,1.117974677102235,1.943732822425334
261,1.1171396267457825,1.9432727265814405
262,1.1156428510357645,1.943009050386006
263,1.1146442038935076,1.94235107114359
264,1.1137569203294249,1.942312538847165
265,1.1113903167175028,1.942329318238262
266,1.110452945869765,1.9421530218701393
267,1.1080597681705113,1.9413540252549424
268,1.106930850585,1.9406962289117875
269,1.1046204922696514,1.9401190683044431
270,1.1042431975911782,1.9398749861146336
271,1.101689803762145,1.9400426357668414
272,1.10065445961127,1.9392118982189066
273,1.0995128655484754,1.938353860470944
274,1.0977903246042662,1.9384375805351122
275,1.096372676795869,1.9376535778258939
276,1.0942930562451096,1.9372203458449557
277,1.0928598277134869,1.936738001885524
278,1.0921615766642174,1.936463668897937
279,1.0911488086864773,1.9366523161650386
280,1.0903154755090736,1.936071886202854
281,1.0893221466469685,1.9356908558649097
282,1.0883698446589,1.9351207977667324
283,1.086722243100402,1.9346995757012873
284,1.0854523221925616,1.9345777627227634
285,1.0829564212321037,1.934605275570917
286,1.0813185954553204,1.9343220400134786
287,1.0805671756010038,1.9342077784086225
288,1.0791904835480013,1.9338575923458954
289,1.0765409951631846,1.933623366313482
290,1.0756782423403795,1.9335147172765015
291,1.0750084992203803,1.9333099876844702
292,1.073287428955799,1.9320146351579686
293,1.0725844121941803,1.9319279041153345
294,1.071990011354057,1.9317202861170573
295,1.070909492581566,1.9313366298549788
296,1.0703001696337953,1.9311158687656322
297,1.0690684051413162,1.9315843157157644
298,1.0686062547597421,1.9309604640107578
299,1.0679871988169216,1.9307137098416296
300,1.0676004541320467,1.930607095812923
301,1.0669908350625918,1.9304424509070237
302,1.0663842082424944,1.9301966750351176
303,1.0657516287826356,1.9298494748738322
304,1.0648368280699922,1.9297267162929344
305,1.0643124181970722,1.9292693606893299
306,1.0638446237886763,1.9292590541248116
307,1.063439407275159,1.9290024194171629
308,1.06205450068737,1.928999710655527
309,1.0608884045580471,1.9286372150042408
310,1.059279717240102,1.9284462430574572
311,1.058829861013985,1.9282207680115564
312,1.0575148739010796,1.9282381814605511
313,1.0562612405962726,1.928074929625038
314,1.0551940337515713,1.9280896695908978
315,1.054709016656728,1.927853469554359
316,1.0541449613677696,1.9274350031525254
317,1.0537286765700864,1.927395843020898
318,1.0532525274690714,1.9272065325717735
319,1.051294312519924,1.9273898855103817
320,1.0497614145106362,1.9266840948166797
321,1.0494521320760006,1.9267588019429334
322,1.049017815114073,1.926146841418245
323,1.048437390017051,1.9261953832016951
324,1.048186808880133,1.9257711630012797
325,1.0471845003176121,1.9257544146893413
326,1.0464554036437597,1.9251250534209163
327,1.045820664172843,1.9248644247523439
328,1.044974139207594,1.9245937765516556
329,1.0442458655084683,1.9244548672040171
330,1.0440180171070077,1.924452681359381
331,1.0420666343310958,1.9238271046551996
332,1.0413698816396786,1.9238769734289645
333,1.0407714279285893,1.9236374871242712
334,1.0400821996864384,1.923624273680271
335,1.0397646652949937,1.9227259368835459
336,1.038103325975982,1.9223480358653655
337,1.0377814712803946,1.9218528592620947
338,1.0373425134887073,1.921983342842488
339,1.036581635508685,1.9217726104872204
340,1.0361404995236108,1.9212346989570936
341,1.0355280107340956,1.9209090718536328
342,1.0336720444241978,1.9209072565532328
343,1.0329711316706576,1.920391538467264
344,1.0324808443667997,1.920059319925295
345,1.0314366542574724,1.9200612061376132
346,1.030975060272077,1.9199876255695885
347,1.0305241468369437,1.9198951733632619
348,1.0299775545034424,1.9194359612134295
349,1.0294012096683383,1.9188636845522322
350,1.028219890763801,1.9188150946665081
351,1.0277391310431794,1.9183175173346516
352,1.0269950293900203,1.9182380452393581
353,1.0257458929754935,1.9178422647488642
354,1.025527277154075,1.9178056664048764
355,1.0245208580563672,1.9179350509211897
356,1.0238058371713463,1.9177785747258467
357,1.02285840500409,1.9174322462626179
358,1.0224447079976942,1.9167617558969974
359,1.0210471586941408,1.9164434813472808
360,1.0207320444375665,1.9163535953725088
361,1.0204974640557907,1.916134891674388
362,1.0198525761377948,1.915633563435125
363,1.0186624693440054,1.9150731832501426
364,1.0179698070319283,1.914752513076439
365,1.0176335525884577,1.9147251704488524
366,1.0170086016478128,1.9144860091124993
367,1.016779774716426,1.914191919152553
368,1.0162875372661513,1.914172527067309
369,1.0156941374744624,1.914080423421847
370,1.0152889481486735,1.9138032559219287
371,1.0150666598785738,1.913751507103507
372,1.014134501500949,1.9137006036744215
373,1.0134080515197808,1.9139178861470862
374,1.012997247566905,1.9135100463049206
375,1.0125697947367032,1.9131549116472395
376,1.011995754310542,1.912717902609632
377,1.0115938369170785,1.912698063594968
378,1.0110404128242099,1.9120120374727925
379,1.010587411520256,1.911379369485617
380,1.0099729482841875,1.9113159774237756
381,1.0096421607415382,1.9112903765140457
382,1.0088007288482597,1.9113228483430504
383,1.008453060411638,1.9109281248411014
384,1.0080339188832352,1.9110355976543534
385,1.0073385683128226,1.9111971921862916
386,1.0070596131786336,1.9106907949022196
387,1.0068032402168376,1.910056465145974
388,1.0062037586340309,1.9096790875810947
389,1.0051364475219475,1.9097444967909696
390,1.0044489070493834,1.9095978288439537
391,1.0039274068073516,1.9092860450158926
392,1.0036572240680763,1.9087927524099846
393,1.0031018253899127,1.9087936570242536
394,1.0023580954704194,1.908623560488086
395,1.0021729955890115,1.9085799566690362
396,1.001877420915327,1.9083605945698199
397,1.00131431785039,1.9085112073945576
398,1.0008257457473198,1.9083309275460167
399,1.000582400973273,1.9079711628316354
400,1.000056067297831,1.9078327608759462
401,0.9995436819961141,1.9078600385829825
402,0.9986548877757033,1.9079982881307127
403,0.998379525840857,1.9079895694953322
404,0.9972510761524027,1.9080640120168393
405,0.9961726605103072,1.9080302641667193
406,0.9959758458556669,1.9080962774880579
407,0.9956927629756851,1.907820307018
408,0.9952452850799085,1.9077127040904187
409,0.9950741825604907,1.9079050343131734
410,0.994805663170269,1.9078663587304778
411,0.9936333859136816,1.9077802617811266
412,0.9933902324326125,1.9076994959336295
413,0.9921504993951104,1.907630685710041
414,0.9920267460732134,1.9073705656322053
415,0.9918303467283092,1.9073120094745393
416,0.9907259573960979,1.9073234589629005
417,0.9903132798120171,1.907226572345779
418,0.9899189642502029,1.9071807425423213
419,0.9897238381962231,1.906974437342672
420,0.9883433990805037,1.906972424739861
421,0.988127813686412,1.9069708551609459
422,0.9878607900032873,1.906876235123666
423,0.9874687928514913,1.9070041853644746
424,0.9871329473134576,1.907091910211642
425,0.9867300591136352,1.9064467117631692
426,0.9857512415173988,1.9061448262592127
427,0.9853622494359283,1.9060897504918706
428,0.9848555599932429,1.9052322560602024
429,0.984634683908818,1.905280723836301
430,0.9843483440944157,1.905371001448822
431,0.9839419849308354,1.9052778401240624
432,0.98331200529177,1.9052466527146061
433,0.9831926730704611,1.9049718829377766
434,0.9828062419402135,1.904971099438026
435,0.9821797624337845,1.9046608102697136
436,0.9815572912107142,1.904376210968018
437,0.9810218822446641,1.9040929797763693
438,0.9808025542190815,1.9039330035589308
439,0.9801914499928164,1.9038778556094467
440,0.9794292433457996,1.9037413956467208
441,0.978765778153444,1.9035435535340284
442,0.9782911737665674,1.9028451920796585
443,0.9781177963131945,1.902575205022812
444,0.9775056921771297,1.9025393950131821
445,0.9772921545833971,1.9022058725931559
446,0.9770392861698598,1.9022097653767671
447,0.976701183821421,1.90203480569017
448,0.9759888834298113,1.9015447479228564
449,0.9758990258727326,1.9015994315775127
450,0.9756674300363216,1.9014860744696325
451,0.975059202167087,1.901332776608981
452,0.974740792670699,1.9013120332851428
453,0.974517600598127,1.9012188353933208
454,0.9742031801677801,1.9013072927099037
