epoch,train_aft_nloglik,val_aft_nloglik
1,4.472902716889713,4.251039061641916
2,5.082074568379682,5.054624197490216
3,5.103501950841103,5.0392925855889485
4,5.058763187610836,4.907472634152807
5,5.2987457006395,5.0053615121554875
6,5.261420886020652,4.886214256877378
7,5.251585614305266,4.966896432154167
8,5.222480606621371,4.952145303508359
9,5.240261391006441,4.987246846470605
10,5.140213344684279,4.949291834423418
11,5.12840085736548,4.938695928283258
12,5.019642997115974,4.691701892202274
13,4.977426358766293,4.729100179861255
14,5.048153463065465,4.720492384786711
15,5.047160618420327,4.879201442033616
16,5.050569417393783,4.859852829095825
17,5.000635283093324,4.807041891324892
18,5.008946040850098,4.8199528854010465
19,5.011552674590729,4.816258798455424
20,5.009657920131819,4.8033374783768235
21,4.971998460945543,4.735579319463307
22,4.970173807750096,4.714633096979041
23,4.971774701154205,4.705899752120354
24,4.970659168208673,4.7258301931384326
25,4.967314258303712,4.6997052538498245
26,4.9679450419380045,4.692558034529878
27,4.968194914633227,4.72971913298578
28,4.962502836656572,4.716642101848311
29,4.993056323359774,4.8213984414516435
30,4.976665494376432,4.746614398373166
31,4.988750253131206,4.800937402939291
