split,n_batteries,n_uncensored,n_censored,censoring_rate,median_min_soh
train,1144,941,203,0.17744755244755245,0.5729249422518996
val,217,167,50,0.2304147465437788,0.617
test,220,174,46,0.20909090909090908,0.5900085772727273
