epoch,train_loss,val_loss,epoch_time_s
1,0.2772829467407325,0.7122949470986709,215.75
2,0.27300135771347434,0.8313616921533974,216.04
3,0.30131820307322316,0.8246153598113215,214.81
4,0.3296084378095179,1.2557283140859843,215.1
5,0.35666512096270814,1.2126287719232702,215.58
6,0.3807270537972059,0.8289254843902312,215.38
7,0.404980656512551,0.916964073714944,212.58
8,0.4287345133127732,0.8782627003168143,212.25
9,0.4517804217869931,0.9127018814497693,213.98
10,0.4504120051873055,0.9121879723017448,212.27
11,0.4490787662827033,0.8915336963273136,213.8
