epoch,train_loss,val_loss,epoch_time_s
1,0.646540319864213,1.0526583934828455,216.49
2,0.5950493072954965,1.1089463702324833,215.38
3,0.5834414576264857,1.1332289344524706,214.84
4,0.570810863729719,1.0919075246810086,215.07
5,0.5681807808007212,1.2807174638154724,211.0
6,0.565745740971747,0.994101095978744,212.31
7,0.564718751812043,1.1186298870344287,214.59
8,0.5635409091868618,1.1862249513364456,215.52
9,0.5627944612463651,1.0950339503032966,215.21
10,0.562328375912588,1.0005570511866109,214.99
11,0.561898940289073,1.029684560612682,214.46
12,0.5616423567014557,1.0623495844247097,214.36
13,0.5609091609415989,1.0406666558553381,214.76
14,0.5599597931566291,1.3710671070647744,215.01
15,0.5600756518850746,1.2778051150761698,215.21
16,0.5591104166961195,1.049060747542705,214.6
