epoch,train_loss,val_loss,epoch_time_s
1,0.3152398138585727,0.7394163601241064,212.42
2,0.32284050384655893,0.7327265265379045,212.07
3,0.36064159760876296,0.7735186334597316,211.11
4,0.39921475758076874,0.8877415670413252,211.27
5,0.43583916968223163,0.8213553194033688,214.16
6,0.46981898095002433,0.8720222262928192,211.38
7,0.5028348159323095,0.9580337636220289,212.65
8,0.5336847056197583,1.0177388107780359,214.64
9,0.5624650236900001,1.0396861039874916,214.33
10,0.5619649339505439,0.9678768165049186,214.55
11,0.5607944953313037,1.0124507475011277,213.63
12,0.5597036311158904,1.1190536445499517,214.19
