variant,beta,beta_anneal,latent,epochs_trained,best_epoch,train_anomaly_rate,val_anomaly_rate,test_anomaly_rate,drift_train_to_test_pp,drift_train_to_val_pp,elapsed_min,abs_drift
V2,1.0,True,12,11,1,0.05000022331896648,0.05081976713701054,0.0571777085708398,0.7177485251873318,0.08195438180440551,40.9,0.7177485251873318
V4,1.0,True,8,12,2,0.05000022331896648,0.05198987744198433,0.059441152129332035,0.9440928810365554,0.19896541230178463,44.3,0.9440928810365554
V1,0.5,False,12,20,10,0.05000022331896648,0.05150141158354008,0.059627279646623614,0.9627056327657133,0.15011882645735997,74.1,0.9627056327657133
baseline,1.0,False,12,18,8,0.05000022331896648,0.051015705419211334,0.06532411115801229,1.5323887839045807,0.10154821002448522,0.0,1.5323887839045807
V3,1.0,False,8,16,6,0.05000022331896648,0.06348400343305947,0.07247672575107439,2.2476502432107908,1.3483780114092994,59.5,2.2476502432107908
