epoch,train_loss,val_loss,epoch_time_s
1,0.38644959746717106,1.102631204372547,212.69
2,0.33672789525840896,0.8805270227615938,212.23
3,0.32884763216696283,0.7502090902521327,211.36
4,0.32452312601334354,0.8412288640976832,214.75
5,0.32234663898089394,0.907287339453401,213.87
6,0.31964936508281877,0.783142631082263,211.29
7,0.3167398368019271,0.836972996941694,213.56
8,0.31482862088540187,0.75059692246409,214.39
9,0.3136976701147248,0.798638629783843,214.06
10,0.312790271300384,0.7344804268587795,214.58
11,0.31171613459235264,0.9014601425732177,213.51
12,0.31135953361678353,0.8195404130871352,214.4
13,0.3103358994106846,0.7763493555070385,214.88
14,0.30956365322608287,0.8265512057791303,214.56
15,0.3094005659029662,0.8234330267990132,214.23
16,0.30868740768722686,0.9713675309448191,214.42
17,0.30835519174438364,0.8477141507881063,214.82
18,0.3080995184554094,0.9457122110971183,214.56
19,0.3076763053717083,15.502361943523796,214.66
20,0.30713150033486736,0.7431103186166934,214.61
