stratum,n,r2,rmse,mae,mape
NMC,3515,0.9837510585784912,4.318940370727908,3.4284610748291016,51.60211
LFP,910,0.5718241930007935,5.6236730069945935,4.86773157119751,5.035804
Zn-ion,231,0.7465773820877075,10.390041248874825,8.345677375793457,9.993103
NCA,137,0.30653828382492065,12.990613629866326,8.266621589660645,14.774524
LCO,116,0.36807847023010254,13.351172783589673,10.747455596923828,15.925774
other,58,0.47584253549575806,3.9106432814351386,2.97257137298584,3.7995837
Na-ion,33,0.3041852116584778,3.955776727460372,3.016345977783203,3.7116158
