stratum,n,r2,rmse,mae,mape
NMC,3515,0.971691906452179,5.700589387103018,4.414953708648682,55.779015
LFP,910,0.4747312068939209,6.228733655834247,5.125794887542725,5.268325
Zn-ion,231,0.6777836084365845,11.715704031225167,9.404208183288574,11.316915
NCA,137,0.444738507270813,11.624310216640612,7.962161064147949,13.758249
LCO,116,0.5200976729393005,11.634943821291506,9.22518253326416,12.437195
other,58,0.825955867767334,2.253445212880405,1.7164257764816284,2.0934358
Na-ion,33,-0.6285263299942017,6.05176876474017,4.487707138061523,5.598574
