stratum,n,r2,rmse,mae,mape
NMC,209743,0.9978119134902954,1.5986526478706065,0.9977018237113953,1659946.2
LFP,54924,0.9508153200149536,1.8946039874084515,1.300690770149231,1.42648
Zn-ion,14161,0.9224799871444702,5.577938472076095,4.087963104248047,5.032564
NCA,8815,0.9894790649414062,1.456329995115201,1.042953610420227,1.4152185
LCO,6896,0.8001875877380371,7.930762848498929,5.035467624664307,280888060.0
other,4321,0.9446169137954712,1.284693486805901,0.9836615324020386,1.2518137
Na-ion,2009,0.9281224608421326,1.2733799740020226,0.8879959583282471,1.081473
