config,n_features,test_r2,test_rmse,test_mae,grade_acc
A_baseline,37,0.9764189720153809,5.735556997773366,4.211941719055176,0.9236
B_audited,31,0.9688961505889893,6.58720297098526,4.952797889709473,0.9058
