,Equal Weights,Literature Mean,Technical-Heavy,BWMR-Heavy,EU-Heavy
Equal Weights,1.0,0.8999999999999999,1.0,0.45,1.0
Literature Mean,0.8999999999999999,1.0,0.8999999999999999,0.30000000000000004,0.8999999999999999
Technical-Heavy,1.0,0.8999999999999999,1.0,0.45,1.0
BWMR-Heavy,0.45,0.30000000000000004,0.45,1.0,0.45
EU-Heavy,1.0,0.8999999999999999,1.0,0.45,1.0
