,Equal Weights,Literature Mean,Technical-Heavy,BWMR-Heavy,EU-Heavy
Equal Weights,1.0,0.7999999999999999,1.0,0.0,1.0
Literature Mean,0.7999999999999999,1.0,0.7999999999999999,-0.39999999999999997,0.7999999999999999
Technical-Heavy,1.0,0.7999999999999999,1.0,0.0,1.0
BWMR-Heavy,0.0,-0.39999999999999997,0.0,1.0,0.0
EU-Heavy,1.0,0.7999999999999999,1.0,0.0,1.0
