chemistry,n_train,n_val,n_test,submodel_r2,submodel_rmse,submodel_mae,submodel_grade_acc,fit_time_s,n,global_r2,global_rmse,global_mae,global_grade_acc,global_f1_macro,delta_r2,delta_rmse,delta_grade_acc
LCO,20205,4293,6896,0.8431545495986938,7.026510446876073,3.9061243534088135,0.8564385150812065,11.1,6896,0.8529296517372131,6.804031568199451,3.789269208908081,0.8259860788863109,0.7942453348537081,-0.009775102138519287,0.22247887867662186,0.03045243619489557
LFP,718887,57341,54924,0.9599400758743286,1.7098519003463908,1.1395920515060425,0.9816473672711383,106.8,54924,0.9599202871322632,1.710273997233959,1.1391723155975342,0.979626392833734,0.5248025601356081,1.9788742065429688e-05,-0.00042209688756811303,0.0020209744374043437
NCA,30605,11329,8815,0.9971741437911987,0.7547562309227797,0.43536120653152466,0.9799205899035734,28.1,8815,0.9937721490859984,1.1204767423341255,0.7320127487182617,0.932047646057856,0.8719272442506034,0.0034019947052003063,-0.36572051141134587,0.0478729438457175
NMC,1391168,267568,209743,0.998636782169342,1.2618513008148156,0.714673638343811,0.9743686320878409,291.8,209743,0.9988009333610536,1.1834279564290602,0.6917235255241394,0.9647044239855442,0.9391395083392662,-0.0001641511917115368,0.07842334438575538,0.009664208102296623
Na-ion,8593,2002,2009,0.9969881176948547,0.26066405307901813,0.17151464521884918,0.9955201592832255,16.2,2009,0.9735836982727052,0.7719648579174029,0.5522112250328064,0.9651567944250872,0.4588910793379075,0.023404419422149547,-0.5113008048383847,0.030363364858138286
Zn-ion,50950,14941,14161,0.9587161540985107,4.070584513238725,2.8707497119903564,0.9234517336346303,28.6,14161,0.9185214638710022,5.718582567776097,4.121228218078613,0.8976061012640351,0.8491222607884625,0.040194690227508545,-1.6479980545373722,0.02584563237059523
other,18542,4885,4321,0.9999472498893738,0.03964121070309957,0.025777198374271393,0.9986114325387642,22.1,4321,0.9871917963027954,0.6178108399387684,0.4356113970279693,0.9451515852811848,0.4710107130573613,0.01275545358657837,-0.5781696292356688,0.05345984725757935
