chemistry,n_train,n_val,n_test,submodel_r2,submodel_rmse,submodel_mae,submodel_grade_acc,fit_time_s,n,global_r2,global_rmse,global_mae,global_grade_acc,global_f1_macro,delta_r2,delta_rmse,delta_grade_acc
LCO,20205,4293,6896,0.842875063419342,7.032769204366425,3.791102409362793,0.8580336426914154,0.6,6896,0.8193552494049072,7.540783684677711,4.955307960510254,0.8259860788863109,0.7942453348537081,0.023519814014434814,-0.508014480311286,0.03204756380510443
LFP,718887,57341,54924,0.9564623832702637,1.7825255929572876,1.2050405740737915,0.9778239021192922,1.4,54924,0.9426355361938475,2.0460909441054405,1.4224339723587036,0.979626392833734,0.5248025601356081,0.013826847076416127,-0.2635653511481528,-0.001802490714441829
NCA,30605,11329,8815,0.9966086745262146,0.826832103928514,0.46642160415649414,0.9853658536585366,0.5,8815,0.984815001487732,1.7496043166649362,1.3195923566818235,0.932047646057856,0.8719272442506034,0.011793673038482555,-0.9227722127364222,0.05331820760068062
NMC,1391168,267568,209743,0.9979631304740906,1.5424259051761202,0.9744433760643005,0.9653433010875214,5.1,209743,0.9972707629203796,1.7854266807011214,1.1140257120132446,0.9647044239855442,0.9391395083392662,0.0006923675537109375,-0.2430007755250012,0.0006388771019771866
Na-ion,8593,2002,2009,0.997221052646637,0.2503799590935191,0.13726523518562317,0.9980089596814335,1.0,2009,0.8897868394851685,1.5768056207575063,1.18668794631958,0.9651567944250872,0.4588910793379075,0.1074342131614685,-1.3264256616639871,0.03285216525634638
Zn-ion,50950,14941,14161,0.9227923154830933,5.5666909877832085,3.9898533821105957,0.9033260362968717,0.8,14161,0.9221773743629456,5.588815227922235,4.144556522369385,0.8976061012640351,0.8491222607884625,0.0006149411201477051,-0.022124240139026696,0.005719935032836632
other,18542,4885,4321,0.9999184608459473,0.04930077437245187,0.035057611763477325,0.9974542929877344,0.6,4321,0.9420254826545716,1.3144060100936934,1.0083210468292236,0.9451515852811848,0.4710107130573613,0.05789297819137562,-1.2651052357212416,0.052302707706549545
