variant,dropout,weight_decay,channels,n_parameters,epochs_trained,best_epoch,train_r2,val_r2,test_r2_full,test_r2_uncensored,train_rmse_pct,test_rmse_pct_full,test_rmse_pct_uncensored,test_mae_pct_uncensored,gap_train_to_uncens_r2,elapsed_min
baseline,,,None,64449,19,11,0.9238011837005615,0.9136001467704773,0.704336404800415,0.8478332757949829,3.046089036846606,6.735514799539278,2.2260116994213526,0.760464179806593,0.07596790790557861,0.0
F,0.5,0.001,"[16, 16, 32, 32]",20273,24,16,0.9862529635429382,0.881725549697876,0.5517067313194275,0.8338067531585693,1.2938179689201355,8.293788596483804,2.3263458753199373,0.7916975253965796,0.1524462103843689,96.9
C,0.3,0.001,"[32, 32, 64, 64]",64449,28,20,0.7638390064239502,0.9052925109863281,0.750662088394165,0.8254626989364624,5.362566118036708,6.185374915238227,2.3840297432267548,0.7966271377191312,-0.06162369251251221,108.5
A,0.45,0.0001,"[32, 32, 64, 64]",64449,19,11,0.8927628993988037,0.9239308834075928,0.7516868710517883,0.7993428707122803,3.6136084703695706,6.172650641872514,2.556200178888747,0.8304541052841558,0.09342002868652344,74.9
B,0.3,0.0001,"[32, 32, 32, 32]",29313,25,17,0.8750263452529907,0.9102769494056702,0.7922384142875671,0.799340546131134,3.901016497111702,5.646177045820328,2.5562148376050025,0.8265727903784775,0.07568579912185669,95.3
D,0.4,0.0005,"[32, 32, 32, 32]",29313,12,4,0.9582579135894775,0.9088162779808044,0.767953097820282,0.7856308221817017,2.254527948762323,5.967050903003119,2.642096702279914,0.8692918172696742,0.17262709140777588,46.6
E,0.45,0.001,"[32, 32, 32, 32]",29313,11,3,0.9345625638961792,0.8877716064453125,0.7080310583114624,0.7767501473426819,2.8228104974499586,6.6932977795015445,2.696268556621252,0.9442332197980183,0.15781241655349731,43.1
